ID,Nombre,Entidad,Correo electrónico,Partido,Escolaridad,Propuestas_Adherente,Propuestas aprobadas_Adherente,Propuestas_Diversos Grupos Parlamentarios,Propuestas aprobadas_Diversos Grupos Parlamentarios,Propuestas_De Grupo,Propuestas aprobadas_De Grupo,Propuestas_TOTAL,Propuestas aprobadas_TOTAL,Propuestas_Iniciante,Propuestas aprobadas_Iniciante,Propuestas_Proponente,Propuestas aprobadas_Proponente
286958853641361825227662389305295482505,Pedro Daniel Abasolo Sánchez,México ,pedro.abasolo@diputados.gob.mx ,PT,Secundaria,1.0,0.0,1.0,0.0,22.0,12.0,24,12,0.0,0.0,0.0,0.0
17008674771083780873293814831134376713,Brasil Alberto Acosta Peña,México ,brasil.acosta@diputados.gob.mx ,PRI,Doctorado,51.0,10.0,1.0,0.0,9.0,0.0,73,11,12.0,1.0,0.0,0.0
210176292887365193795612777553345542615,Marco Antonio Adame Castillo,Morelos ,marco.adame@diputados.gob.mx ,PAN,Maestría,112.0,15.0,5.0,1.0,37.0,4.0,164,21,10.0,1.0,0.0,0.0
269882339652188138864988740215102620899,Heriberto Marcelo Aguilar Castillo,Sonora ,heriberto.aguilar@diputados.gob.mx ,Morena,Licenciatura,10.0,1.0,2.0,0.0,29.0,14.0,53,16,12.0,1.0,0.0,0.0
104934072240793553085582246887485956431,Ricardo Aguilar Castillo,México ,raguilar.castillo@diputados.gob.mx ,PRI,Licenciatura,51.0,9.0,4.0,1.0,7.0,0.0,67,10,5.0,0.0,0.0,0.0
155020172088723779556547432243960107610,Bonifacio Aguilar Linda,Veracruz ,bonifacio.aguilar@diputados.gob.mx ,Morena,Secundaria,15.0,2.0,1.0,0.0,27.0,14.0,45,16,2.0,0.0,0.0,0.0
99937596598236069886878117001403817713,Leticia Arlett Aguilar Molina,Chiapas ,leticia.aguilar@diputados.gob.mx ,Sin Partido,Licenciatura,6.0,0.0,0.0,0.0,27.0,14.0,38,15,5.0,1.0,0.0,0.0
302158133629863770779407421555690577097,Marcos Aguilar Vega,Querétaro ,marcos.aguilar@diputados.gob.mx ,PAN,Maestría,106.0,16.0,5.0,1.0,32.0,4.0,144,21,1.0,0.0,0.0,0.0
146222383315344526890492306281270601633,Sebastián Aguilera Brenes,Chihuahua ,sebastian.aguilera@diputados.gob.mx ,Morena,Sin estudios registrados,6.0,0.0,1.0,0.0,27.0,14.0,43,15,9.0,1.0,0.0,0.0
85493658451061344777612357904802795646,Maribel Aguilera Chairez,Durango ,maribel.aguilera@diputados.gob.mx ,Morena,Sin estudios registrados,2.0,0.0,0.0,0.0,27.0,14.0,41,14,12.0,0.0,0.0,0.0
